Geneid	MK_rep2
NM_177289	0
NM_001109873	0
NM_009824	0
MSTRG.277.1	0
MSTRG.282.1	0
MSTRG.283.1	0
MSTRG.284.3	0
MSTRG.284.2	0
MSTRG.284.1	0
MSTRG.288.3	0
MSTRG.288.2	0
MSTRG.288.1	0
NM_025977	0
NM_001164614	0
NM_001290299	0
NM_144935	0
NM_025870	0
MSTRG.294.1	715
MSTRG.296.1	0
NM_008925	0
NM_001293651	0
NM_001293650	0
MSTRG.306.2	0
MSTRG.306.1	0
MSTRG.306.3	0
MSTRG.301.1	0
MSTRG.302.1	0
NM_019659	0
NM_001168354	0
MSTRG.308.1	12
MSTRG.309.1	111
MSTRG.310.1	11
MSTRG.311.1	46
MSTRG.313.1	0
MSTRG.314.1	9
NM_031874	1
NM_001253869	0
NM_178577	0
NR_045606	2
NM_001253870	0
NM_001253868	0
NM_001253867	0
MSTRG.290.1	0
MSTRG.291.1	1
MSTRG.292.1	9
MSTRG.298.1	0
MSTRG.298.4	0
MSTRG.298.3	0
MSTRG.298.2	0
MSTRG.299.1	6
NR_132099	0
MSTRG.285.1	0
MSTRG.287.1	3
NM_010149	0
NM_023622	0
NM_029939	0
NM_001163787	0
MSTRG.304.1	0
MSTRG.304.2	0
MSTRG.304.3	0
MSTRG.304.4	0
NM_010487	2
NM_177318	0
NM_001310759	0
NR_030448	0
NM_010605	0
NM_008026	7
MSTRG.312.1	49
NM_138604	0
NM_001290536	0
NM_001290537	0
NM_138606	0
NM_001083937	0
NM_078484	0
MSTRG.328.1	283
MSTRG.329.1	0
NR_132589	0
NM_011591	0
NM_001313693	0
NM_013892	0
MSTRG.333.1	48
MSTRG.334.1	0
MSTRG.335.1	0
MSTRG.335.2	0
MSTRG.340.1	3518
MSTRG.338.1	0
MSTRG.343.1	0
MSTRG.343.2	0
NR_131207	0
MSTRG.353.1	0
MSTRG.353.2	0
MSTRG.355.1	1
MSTRG.356.1	15
MSTRG.356.2	0
MSTRG.356.4	0
MSTRG.356.3	0
MSTRG.356.5	0
MSTRG.356.7	0
MSTRG.356.6	0
MSTRG.356.10	0
MSTRG.356.12	0
MSTRG.356.8	0
MSTRG.356.9	0
MSTRG.356.11	0
MSTRG.356.13	0
MSTRG.356.15	0
MSTRG.356.14	0
NM_009767	0
NM_009440	0
NR_002844	0
MSTRG.347.1	3
MSTRG.348.1	0
MSTRG.349.1	0
MSTRG.350.1	10
NR_015508	2
NR_033398	0
NR_037298	0
MSTRG.316.1	644
MSTRG.317.1	0
MSTRG.318.3	0
MSTRG.318.2	0
MSTRG.318.1	1
MSTRG.320.1	13
MSTRG.325.1	36
MSTRG.325.2	2
MSTRG.325.3	0
NM_019478	0
NM_001252528	0
NM_001252529	0
MSTRG.331.1	576
MSTRG.322.1	6
MSTRG.323.1	9
NM_181548	0
NM_010413	0
NM_001130416	0
NM_008089	3
MSTRG.341.1	1
MSTRG.336.1	0
NM_027227	0
NM_001290716	0
NM_011514	0
MSTRG.352.1	0
NR_015505	0
MSTRG.346.2	0
MSTRG.346.1	0
NR_001570	0
NR_001463	0
MSTRG.344.1	0
MSTRG.357.1	0
MSTRG.361.1	5
MSTRG.362.1	0
MSTRG.358.1	0
MSTRG.359.1	0
NR_028381	0
NR_028380	0
NR_030558	0
NR_030418	0
