Geneid	G1E_rep2
NR_001570	0
NR_001463	5
MSTRG.344.1	95
MSTRG.357.1	12
MSTRG.361.1	7
MSTRG.362.1	1
MSTRG.358.1	0
MSTRG.359.1	0
NR_028381	0
NR_028380	0
NR_030558	0
NR_030418	0
